sign,cluster
EIGHT,0
FAMILY,0
FOUR,0
NINE,0
ONE,0
SEVEN,0
SIX,0
THREE,0
TWO,0
YES,0
DRINK,1
HOT,1
MOTHER,1
ORANGE,1
BLACK,2
EAT,2
FATHER,2
HELLO,2
HOME,2
KNOW,2
RED,2
SEE,2
SLEEP,2
UNDERSTAND,2
WHY,2
BABY,3
BAD,3
BOOK,3
GOOD,3
HOW,3
LEARN,3
SMALL,3
THANK YOU,3
TIRED,3
WANT,3
BIG,4
BROTHER,4
GREEN,4
HELP,4
PURPLE,4
SISTER,4
WATER,4
WHO,4
YELLOW,4
BLUE,5
COME,5
GO,5
GOODBYE,5
NO,5
WHAT,5
WHERE,5
YOU,5
COLD,6
HAPPY,6
LIKE,6
LOVE,6
ME,6
PLEASE,6
SORRY,6
WHITE,6
NAME,7
SCHOOL,7
STOP,7
