split,gloss,clip_id,n_frames
train,ME,2576140497310784-ME,13
val,FAMILY,7397889710801269-FAMILY,28
train,GOOD,27179636245697747-GOOD,46
test,HOME,15614531692180766-HOME,42
train,SIX,8447796557717244-SIX,48
test,WATER,41194332281860335-WATER,16
test,SEVEN,2573968835438749-SEVEN,16
train,NO,7973429116215278-NO,30
test,GREEN,8312459625722002-GREEN,35
train,YELLOW,29077777219840395-YELLOW,17
test,WHAT,7084601978683813-WHAT 2,24
train,BROTHER,8528083792258134-BROTHER,27
train,WHITE,8787854231298282-WHITE,25
test,LOVE,8416155976192394-LOVE,28
test,SORRY,7965960158855614-SORRY,14
train,FAMILY,4628193900204982-FAMILY,28
test,BROTHER,27515506457252026-BROTHER,19
test,FOUR,21216630436083284-FOUR,14
train,NAME,45143019985078214-NAME,20
val,ME,5724078705072562-ME,37
train,BLACK,31045839782231943-BLACK,32
test,BLUE,2072166480164903-BLUE,15
val,GOOD,8618976665727696-GOOD,22
train,FOUR,8083395285550947-FOUR,26
train,BLACK,040703853460511974-BLACK,27
test,ME,31080382328753453-ME,19
train,FAMILY,845411153644452-FAMILY,26
train,HELP,3557945550706938-HELP,22
train,FATHER,8360801452399957-FATHER,17
train,HAPPY,7183808471728259-HAPPY,26
train,GOODBYE,5974251648548923-BYE,20
train,LEARN,6919715917732598-LEARN,23
test,GOOD,22413626372355933-GOOD,32
train,EIGHT,18721973015995563-EIGHT,28
train,BIG,08906569344299342-seedBIG,49
test,YES,9605571410103191-YES,60
test,EIGHT,40848030294744664-EIGHT,60
test,WHAT,6451705780589494-WHAT 2,24
train,BIG,30572430340937906-BIG,17
test,LIKE,06793339114876251-LIKE,15
train,LEARN,02289895371863082-LEARN,29
train,HOT,13316006185127205-HOT,21
train,SISTER,5049858314243783-SISTER,44
test,WATER,28568822555970064-WATER,22
test,SIX,5614362564622106-SIX,13
train,TIRED,5389522809985581-TIRED,20
test,WHY,30163868001403205-WHY,35
test,WHY,1861131167759893-WHY,28
test,NAME,3644933452013184-NAME,35
val,BROTHER,43876125183584724-BROTHER,20
train,KNOW,1431969749910329-KNOW,28
train,FATHER,47857573015695154-FATHER,19
test,SLEEP,08177526594355822-SLEEP,14
val,STOP,49400025068696496-STOP,38
train,LEARN,8356772257248806-LEARN,29
test,WHY,015395985479345287-WHY,13
train,SCHOOL,2814564048387007-SCHOOL,52
train,TIRED,475127353077462-seedTIRED,60
train,PLEASE,5305284657006966-PLEASE,23
train,LOVE,4194471454302029-LOVE,40
test,HELP,5726113697968809-HELP,21
train,SMALL,12263814955166064-SMALL,17
train,TIRED,1542018459581047-TIRED,25
test,LIKE,8940965995167087-LIKE,39
test,WHITE,39073540410206586-WHITE,17
train,ME,6411588958209695-ME,15
test,SEE,7933932035972608-SEE,29
test,SEVEN,5318939200518071-SEVEN,30
test,PLEASE,5042323343464843-PLEASE,22
val,LIKE,16373316542801275-LIKE,40
train,HOT,8421220383934189-HOT,18
val,YES,8977694836593926-YES,22
train,HOW,1334132333742275-HOW,26
test,SISTER,29013316286737467-SISTER,15
train,HELLO,7613696736100914-HELLO,26
train,LOVE,3826611907286055-LOVE,26
val,GOODBYE,9710569622157019-BYE,43
train,SORRY,6284344362350516-SORRY,21
val,WHO,6506737411983545-WHO,15
test,BIG,6066190917613212-BIG,30
test,GREEN,5276371337374621-GREEN,20
train,SIX,12834201117290944-SIX,20
train,YOU,677386009297865-YOU,24
test,STOP,975560309489212-STOP,17
test,COME,21374230308157083-COME,30
train,SORRY,5865603235099206-SORRY,18
train,LIKE,8273164081850686-LIKE,23
train,SEE,24962171644696074-SEE,17
test,WHO,6339230507709075-WHO,30
train,BAD,26378912740269156-BAD,13
train,SEVEN,7774056382122789-SEVEN,53
test,BAD,1583686602856138-BAD,27
train,ORANGE,6483924913080525-seedORANGE,61
test,YELLOW,9387228528841061-YELLOW,18
test,LEARN,2940604270213145-LEARN,23
train,COLD,17656377523560773-COLD,20
test,BIG,8329466041910012-BIG,20
train,THANK YOU,6912280773625425-THANK YOU,21
train,STOP,7606933944529259-STOP,24
test,SEE,2322814887877973-SEE,16
test,YOU,9902995590504236-YOU,11
val,FATHER,9035254231738448-FATHER,18
train,HELLO,8841964348021558-HELLO,46
train,WHY,20564555475489255-WHY,18
test,LOVE,0430014058082695-LOVE,18
train,NAME,7680995774148371-NAME,23
val,GO,6721385997956766-GO,16
train,MOTHER,4465911028936387-MOTHER,23
val,GREEN,9695299725983888-GREEN,18
test,WHERE,9957868929062672-WHERE,31
val,MOTHER,2401781217873089-MOTHER,33
test,SLEEP,2281067908916985-SLEEP,24
test,YOU,4091388061019394-YOU,26
train,FATHER,01723835388117645-seedFATHER,43
val,NINE,7868445027066324-NINE,16
train,WATER,03892908647294191-WATER,19
test,THREE,2119034306255807-THREE,16
train,COME,27472288337812434-COME,21
val,SEVEN,35975737443447775-SEVEN,15
test,COLD,35901832143458634-COLD,37
test,UNDERSTAND,9663239092789866-UNDERSTAND,26
test,SMALL,9399480572843995-SMALL,35
train,NINE,11653220295321187-NINE,26
train,WHAT,18362037497753203-WHAT 2,30
train,THREE,26520120613127607-seedTHREE,48
val,LEARN,35455702192899774-LEARN,22
test,STOP,6864058804402533-STOP,23
train,BLUE,19115013411709159-BLUE,17
val,HELP,8534077485600235-HELP,30
train,GOOD,8259197203871462-GOOD,18
test,MOTHER,4194600384314444-MOTHER,17
test,YELLOW,17987062708093315-YELLOW,39
train,WHAT,600407709572452-WHAT 2,55
train,SCHOOL,5088472744264194-SCHOOL,29
train,HAPPY,05300176493024167-HAPPY,17
test,NO,2732741727030885-NO,15
test,ORANGE,334847449146251-ORANGE,32
test,BLACK,8816224302083786-BLACK,15
test,HAPPY,9606353592578751-HAPPY,30
train,TWO,31861245782766745-TWO,17
val,YOU,6229294436435182-YOU,19
test,LEARN,051881466201948445-LEARN,25
test,GOODBYE,31198466578073125-BYE,28
test,STOP,21416838482074008-STOP,19
train,LOVE,8108861250431312-seedLOVE,41
val,YELLOW,5699293489634374-YELLOW,31
train,BIG,9354080358924928-BIG,16
train,WATER,7449721965435019-WATER,22
test,EIGHT,8010326230741247-EIGHT,23
val,ONE,5843445915901924-ONE,21
train,WHAT,23051551564122996-WHAT 2,17
train,HOW,021939327153324584-HOW,30
val,SCHOOL,7861062216231951-SCHOOL,27
train,HELP,4206186890939383-HELP,22
train,WANT,08859845078833506-WANT 2,24
