,HELLO,GOODBYE,PLEASE,THANK YOU,SORRY,YES,NO,GOOD,BAD,ONE,TWO,THREE,FOUR,HAPPY,SIX,SEVEN,EIGHT,NINE,RED,BLUE,GREEN,YELLOW,ORANGE,PURPLE,BLACK,WHITE,MOTHER,FATHER,SISTER,BROTHER,BABY,FAMILY,EAT,DRINK,WANT,LIKE,LOVE,HELP,KNOW,UNDERSTAND,GO,COME,SEE,LEARN,SLEEP,TIRED,ME,YOU,WATER,HOME,SCHOOL,BOOK,NAME,WHAT,WHERE,WHO,HOW,WHY,BIG,SMALL,HOT,COLD,STOP
HELLO,1.0,0.5061,0.0122,0.0122,0.0122,0.2591,0.2591,0.0086,0.0086,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.0,0.0,0.0,0.0,0.4939,0.247,0.247,0.4939,0.0,0.247,0.0,0.247,0.0,0.0,0.247,0.0,0.0,0.0,0.247,0.247,0.247,0.247,0.247,0.0,0.247,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0
GOODBYE,0.5061,1.0,0.0122,0.0122,0.0122,0.5061,0.5061,0.0086,0.0086,0.4939,0.4939,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.0,0.7409,0.4939,0.4939,0.0,0.4939,0.0,0.247,0.247,0.247,0.0,0.0,0.0,0.4939,0.0,0.0,0.4939,0.0,0.0,0.247,0.0,0.0,0.4939,0.4939,0.0,0.0,0.247,0.0,0.0,0.4939,0.0,0.0,0.247,0.247,0.247,0.7409,0.7409,0.0,0.247,0.0,0.247,0.247,0.247,0.247,0.247
PLEASE,0.0122,0.0122,1.0,0.2591,0.753,0.0122,0.0122,0.2556,0.2556,0.0,0.0,0.0,0.0,0.7409,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.4939,0.0,0.247,0.0,0.0,0.4939,0.4939,0.0,0.4939,0.247,0.0,0.0,0.0,0.0,0.247,0.4939,0.4939,0.0,0.0,0.247,0.247,0.247,0.0,0.0,0.0,0.247,0.247,0.4939,0.0,0.4939,0.247,0.4939,0.247
THANK YOU,0.0122,0.0122,0.2591,1.0,0.0122,0.0122,0.0122,0.9964,0.7495,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.0,0.0,0.247,0.247,0.0,0.4939,0.247,0.7409,0.247,0.247,0.4939,0.4939,0.247,0.0,0.4939,0.247,0.0,0.247,0.247,0.247,0.247,0.247,0.4939,0.0,0.0,0.247,0.0,0.247,0.7409,0.0,0.247,0.0,0.247,0.4939,0.4939,0.247,0.4939,0.247,0.0,0.247
SORRY,0.0122,0.0122,0.753,0.0122,1.0,0.2591,0.0122,0.0086,0.0086,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.0,0.247,0.0,0.0,0.4939,0.7409,0.0,0.247,0.4939,0.0,0.0,0.0,0.0,0.247,0.247,0.4939,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.247,0.0,0.247,0.247,0.7409,0.0
YES,0.2591,0.5061,0.0122,0.0122,0.2591,1.0,0.5061,0.0086,0.0086,0.4939,0.4939,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.0,0.4939,0.247,0.247,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.247,0.0,0.247,0.247,0.0,0.4939,0.4939,0.4939,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.247,0.247,0.247,0.247,0.247,0.4939,0.0,0.247,0.0,0.247,0.247,0.0,0.247,0.247
NO,0.2591,0.5061,0.0122,0.0122,0.0122,0.5061,1.0,0.0086,0.0086,0.7409,0.4939,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.247,0.4939,0.247,0.247,0.247,0.247,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.247,0.0,0.0,0.247,0.0,0.0,0.7409,0.7409,0.0,0.0,0.0,0.0,0.247,0.7409,0.0,0.0,0.247,0.247,0.247,0.247,0.7409,0.0,0.247,0.0,0.247,0.247,0.0,0.0,0.247
GOOD,0.0086,0.0086,0.2556,0.9964,0.0086,0.0086,0.0086,1.0,0.753,0.0,0.0,0.0,0.0,0.2556,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.0,0.0,0.247,0.247,0.0,0.4939,0.247,0.7409,0.247,0.247,0.4939,0.4939,0.247,0.0,0.4939,0.247,0.0,0.247,0.247,0.247,0.247,0.247,0.5025,0.0,0.0,0.247,0.0,0.247,0.7409,0.0,0.247,0.0,0.247,0.4939,0.4939,0.2556,0.5025,0.2556,0.0086,0.247
BAD,0.0086,0.0086,0.2556,0.7495,0.0086,0.0086,0.0086,0.753,1.0,0.0,0.0,0.0,0.0,0.2556,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.0,0.0,0.247,0.247,0.0,0.4939,0.247,0.4939,0.247,0.247,0.4939,0.247,0.247,0.0,0.247,0.247,0.0,0.247,0.247,0.247,0.4939,0.247,0.7495,0.0,0.0,0.247,0.0,0.247,0.4939,0.0,0.0,0.0,0.247,0.7409,0.4939,0.2556,0.5025,0.2556,0.0086,0.247
ONE,0.247,0.4939,0.0,0.0,0.0,0.4939,0.7409,0.0,0.0,1.0,0.753,0.753,0.753,0.0,0.753,0.753,0.753,0.753,0.247,0.4939,0.247,0.247,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.247,0.0,0.247,0.247,0.0,0.0,0.7409,0.7409,0.0,0.0,0.0,0.0,0.247,0.7409,0.0,0.0,0.247,0.247,0.247,0.247,0.7409,0.0,0.247,0.0,0.247,0.247,0.0,0.0,0.247
TWO,0.247,0.4939,0.0,0.0,0.0,0.4939,0.4939,0.0,0.0,0.753,1.0,0.753,0.753,0.0,0.753,0.753,0.753,0.753,0.0,0.4939,0.247,0.247,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.247,0.0,0.247,0.247,0.0,0.0,0.4939,0.4939,0.247,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.247,0.247,0.247,0.247,0.4939,0.0,0.247,0.0,0.247,0.247,0.0,0.0,0.247
THREE,0.247,0.4939,0.0,0.0,0.0,0.4939,0.4939,0.0,0.0,0.753,0.753,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4939,0.4939,0.4939,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.7409,0.0,0.0,0.247,0.247,0.247,0.4939,0.0,0.0,0.4939,0.4939,0.0,0.0,0.0,0.0,0.0,0.4939,0.247,0.0,0.247,0.247,0.4939,0.247,0.4939,0.247,0.247,0.0,0.4939,0.247,0.0,0.0,0.247
FOUR,0.247,0.4939,0.0,0.0,0.0,0.4939,0.4939,0.0,0.0,0.753,0.753,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4939,0.4939,0.4939,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.7409,0.0,0.0,0.247,0.247,0.247,0.4939,0.0,0.0,0.4939,0.4939,0.0,0.0,0.0,0.0,0.0,0.4939,0.247,0.0,0.247,0.247,0.4939,0.247,0.4939,0.247,0.247,0.0,0.4939,0.247,0.0,0.0,0.247
HAPPY,0.247,0.0,0.7409,0.247,0.4939,0.0,0.0,0.2556,0.2556,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4939,0.247,0.0,0.0,0.0,0.0,0.247,0.4939,0.0,0.0,0.0,0.0,0.4939,0.0,0.247,0.0,0.0,0.4939,0.4939,0.0,0.4939,0.247,0.0,0.0,0.0,0.0,0.247,0.5061,0.4939,0.0,0.0,0.247,0.247,0.247,0.0,0.0,0.0,0.0,0.247,0.4939,0.0122,0.5061,0.2591,0.5061,0.247
SIX,0.247,0.4939,0.0,0.0,0.0,0.4939,0.4939,0.0,0.0,0.753,0.753,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4939,0.4939,0.4939,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.7409,0.0,0.0,0.247,0.247,0.247,0.4939,0.0,0.0,0.4939,0.4939,0.0,0.0,0.0,0.0,0.0,0.4939,0.247,0.0,0.247,0.247,0.4939,0.247,0.4939,0.247,0.247,0.0,0.4939,0.247,0.0,0.0,0.247
SEVEN,0.247,0.4939,0.0,0.0,0.0,0.4939,0.4939,0.0,0.0,0.753,0.753,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4939,0.4939,0.4939,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.7409,0.0,0.0,0.247,0.247,0.247,0.4939,0.0,0.0,0.4939,0.4939,0.0,0.0,0.0,0.0,0.0,0.4939,0.247,0.0,0.247,0.247,0.4939,0.247,0.4939,0.247,0.247,0.0,0.4939,0.247,0.0,0.0,0.247
EIGHT,0.247,0.4939,0.0,0.0,0.0,0.4939,0.4939,0.0,0.0,0.753,0.753,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4939,0.4939,0.4939,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.7409,0.0,0.0,0.247,0.247,0.247,0.4939,0.0,0.0,0.4939,0.4939,0.0,0.0,0.0,0.0,0.0,0.4939,0.247,0.0,0.247,0.247,0.4939,0.247,0.4939,0.247,0.247,0.0,0.4939,0.247,0.0,0.0,0.247
NINE,0.247,0.4939,0.0,0.0,0.0,0.4939,0.4939,0.0,0.0,0.753,0.753,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.4939,0.4939,0.4939,0.0,0.4939,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.7409,0.0,0.0,0.247,0.247,0.247,0.4939,0.0,0.0,0.4939,0.4939,0.0,0.0,0.0,0.0,0.0,0.4939,0.247,0.0,0.247,0.247,0.4939,0.247,0.4939,0.247,0.247,0.0,0.4939,0.247,0.0,0.0,0.247
RED,0.247,0.0,0.247,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,1.0,0.0122,0.0122,0.0122,0.2591,0.0122,0.5061,0.2591,0.247,0.0,0.247,0.0,0.0,0.0,0.4939,0.247,0.0,0.247,0.247,0.0,0.247,0.247,0.247,0.247,0.0,0.0,0.247,0.0,0.4939,0.247,0.247,0.247,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.247,0.0,0.247,0.4939,0.247,0.0
BLUE,0.247,0.7409,0.247,0.247,0.0,0.4939,0.4939,0.247,0.247,0.4939,0.4939,0.4939,0.4939,0.247,0.4939,0.4939,0.4939,0.4939,0.0122,1.0,0.5061,0.5061,0.0122,0.5061,0.0122,0.0122,0.0,0.0,0.0,0.0,0.247,0.4939,0.0,0.0,0.247,0.0,0.0,0.247,0.247,0.0,0.4939,0.4939,0.0,0.0,0.0,0.247,0.0,0.4939,0.0,0.0,0.4939,0.4939,0.247,0.4939,0.7409,0.0,0.4939,0.247,0.247,0.4939,0.247,0.247,0.4939
GREEN,0.0,0.4939,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.0122,0.5061,1.0,1.0,0.2591,0.753,0.0122,0.0122,0.247,0.247,0.4939,0.4939,0.0,0.4939,0.0,0.247,0.247,0.247,0.0,0.4939,0.0,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.0,0.247,0.4939,0.0,0.247,0.247,0.4939,0.4939,0.4939,0.4939,0.247,0.0,0.7409,0.247,0.247,0.247,0.247
YELLOW,0.0,0.4939,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.0122,0.5061,1.0,1.0,0.2591,0.753,0.0122,0.0122,0.247,0.247,0.4939,0.4939,0.0,0.4939,0.0,0.247,0.247,0.247,0.0,0.4939,0.0,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.0,0.247,0.4939,0.0,0.247,0.247,0.4939,0.4939,0.4939,0.4939,0.247,0.0,0.7409,0.247,0.247,0.247,0.247
ORANGE,0.0,0.0,0.0,0.247,0.0,0.0,0.247,0.247,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591,0.0122,0.2591,0.2591,1.0,0.0122,0.0122,0.0122,0.4939,0.247,0.4939,0.247,0.0,0.0,0.247,0.7409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.247,0.0,0.4939,0.0,0.0
PURPLE,0.0,0.4939,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.247,0.4939,0.4939,0.0,0.4939,0.4939,0.4939,0.4939,0.0122,0.5061,0.753,0.753,0.0122,1.0,0.2591,0.0122,0.0,0.0,0.247,0.247,0.0,0.4939,0.0,0.0,0.247,0.247,0.0,0.4939,0.0,0.0,0.247,0.247,0.247,0.0,0.0,0.0,0.0,0.247,0.247,0.0,0.4939,0.247,0.7409,0.4939,0.4939,0.247,0.247,0.0,0.4939,0.247,0.247,0.247,0.4939
BLACK,0.4939,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.0,0.247,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.5061,0.0122,0.0122,0.0122,0.0122,0.2591,1.0,0.0122,0.0,0.247,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.247,0.247,0.247,0.4939,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.247,0.0,0.247,0.0,0.247,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.247
WHITE,0.247,0.247,0.4939,0.247,0.4939,0.0,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.4939,0.0,0.0,0.0,0.0,0.2591,0.0122,0.0122,0.0122,0.0122,0.0122,0.0122,1.0,0.247,0.247,0.247,0.247,0.4939,0.247,0.247,0.247,0.4939,0.7409,0.4939,0.247,0.247,0.247,0.247,0.247,0.247,0.247,0.7409,0.4939,0.4939,0.0,0.0,0.247,0.0,0.247,0.0,0.247,0.0,0.0,0.247,0.4939,0.247,0.4939,0.247,0.4939,0.0
MOTHER,0.247,0.247,0.0,0.247,0.0,0.0,0.0,0.247,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.247,0.247,0.4939,0.0,0.0,0.247,1.0,0.753,0.5061,0.2591,0.0122,0.0122,0.4939,0.4939,0.247,0.0,0.0,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.247,0.0,0.247,0.247,0.7409,0.0,0.247,0.0,0.247,0.247,0.0,0.4939,0.0,0.0,0.247,0.0,0.247,0.0,0.247
